Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Australia,A1,28/09/08,Melbourne Victory,Brisbane Roar,0,2
Australia,A1,28/09/08,Wellington Phoenix,Sydney FC,2,1
Australia,A1,03/10/08,Adelaide United,Central Coast Mariners,3,3
Australia,A1,04/10/08,Sydney FC,Brisbane Roar,1,1
Australia,A1,04/10/08,Melbourne Victory,Perth Glory,4,0
Australia,A1,06/10/08,Newcastle Jets,Wellington Phoenix,2,2
Australia,A1,17/10/08,Brisbane Roar,Adelaide United,0,1
Australia,A1,18/10/08,Newcastle Jets,Melbourne Victory,1,0
Australia,A1,19/10/08,Perth Glory,Sydney FC,2,1
Australia,A1,19/10/08,Central Coast Mariners,Wellington Phoenix,0,1
Australia,A1,24/10/08,Central Coast Mariners,Newcastle Jets,1,0
Australia,A1,25/10/08,Melbourne Victory,Sydney FC,0,2
Australia,A1,26/10/08,Adelaide United,Perth Glory,2,1
Australia,A1,26/10/08,Wellington Phoenix,Brisbane Roar,0,1
Australia,A1,31/10/08,Adelaide United,Melbourne Victory,2,3
Australia,A1,01/11/08,Sydney FC,Central Coast Mariners,3,3
Australia,A1,02/11/08,Perth Glory,Wellington Phoenix,2,0
Australia,A1,02/11/08,Newcastle Jets,Brisbane Roar,1,2
Australia,A1,07/11/08,Sydney FC,Wellington Phoenix,1,2
Australia,A1,08/11/08,Brisbane Roar,Melbourne Victory,0,1
Australia,A1,09/11/08,Perth Glory,Newcastle Jets,2,2
Australia,A1,15/11/08,Central Coast Mariners,Adelaide United,3,0
Australia,A1,21/11/08,Melbourne Victory,Central Coast Mariners,2,1
Australia,A1,22/11/08,Adelaide United,Sydney FC,2,0
Australia,A1,23/11/08,Brisbane Roar,Perth Glory,4,1
Australia,A1,23/11/08,Wellington Phoenix,Newcastle Jets,2,0
Australia,A1,28/11/08,Sydney FC,Brisbane Roar,1,1
Australia,A1,28/11/08,Wellington Phoenix,Melbourne Victory,2,1
Australia,A1,29/11/08,Perth Glory,Central Coast Mariners,2,2
Australia,A1,30/11/08,Newcastle Jets,Adelaide United,1,1
Australia,A1,05/12/08,Adelaide United,Wellington Phoenix,6,1
Australia,A1,06/12/08,Perth Glory,Melbourne Victory,3,1
Australia,A1,06/12/08,Central Coast Mariners,Brisbane Roar,1,1
Australia,A1,07/12/08,Newcastle Jets,Sydney FC,1,2
Australia,A1,13/12/08,Central Coast Mariners,Sydney FC,2,1
Australia,A1,13/12/08,Wellington Phoenix,Perth Glory,1,1
Australia,A1,14/12/08,Brisbane Roar,Newcastle Jets,2,1
Australia,A1,19/12/08,Newcastle Jets,Melbourne Victory,4,2
Australia,A1,19/12/08,Wellington Phoenix,Central Coast Mariners,1,0
Australia,A1,21/12/08,Sydney FC,Perth Glory,1,4
Australia,A1,26/12/08,Perth Glory,Adelaide United,0,1
Australia,A1,26/12/08,Newcastle Jets,Central Coast Mariners,1,2
Australia,A1,27/12/08,Melbourne Victory,Sydney FC,3,2
Australia,A1,28/12/08,Brisbane Roar,Wellington Phoenix,3,2
Australia,A1,31/12/08,Central Coast Mariners,Perth Glory,1,0
Australia,A1,02/01/09,Melbourne Victory,Brisbane Roar,2,1
Australia,A1,03/01/09,Adelaide United,Sydney FC,2,0
Australia,A1,04/01/09,Wellington Phoenix,Newcastle Jets,3,0
Australia,A1,06/01/09,Melbourne Victory,Adelaide United,1,0
Australia,A1,09/01/09,Adelaide United,Newcastle Jets,2,0
Australia,A1,10/01/09,Central Coast Mariners,Brisbane Roar,3,4
Australia,A1,11/01/09,Perth Glory,Melbourne Victory,3,2
Australia,A1,11/01/09,Sydney FC,Wellington Phoenix,1,0
Australia,A1,14/01/09,Adelaide United,Brisbane Roar,0,0
Australia,A1,16/01/09,Melbourne Victory,Central Coast Mariners,3,0
Australia,A1,17/01/09,Brisbane Roar,Sydney FC,3,1
Australia,A1,18/01/09,Newcastle Jets,Perth Glory,2,1
Australia,A1,18/01/09,Wellington Phoenix,Adelaide United,1,1
Australia,A1,23/01/09,Melbourne Victory,Wellington Phoenix,2,0
Australia,A1,24/01/09,Brisbane Roar,Perth Glory,4,2
Australia,A1,25/01/09,Central Coast Mariners,Adelaide United,0,1
Australia,A1,25/01/09,Sydney FC,Newcastle Jets,4,0
Australia,A1,06/02/09,Central Coast Mariners,Brisbane Roar,0,2
Australia,A1,07/02/09,Adelaide United,Melbourne Victory,0,2
