Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SaudiArabia,SPL,22/03/02,Al Najma,Al Shabab,4,3
SaudiArabia,SPL,22/03/02,Al Nasr Riyadh,Al-Hilal,3,2
SaudiArabia,SPL,22/03/02,Al-Ettifaq,Al Wehda,2,1
SaudiArabia,SPL,29/03/02,Al Ahli SC,Al-Shoalah,1,1
SaudiArabia,SPL,29/03/02,Al Najma,Al Riyadh,2,1
SaudiArabia,SPL,29/03/02,Al Wehda,Al Ansar,3,2
SaudiArabia,SPL,30/03/02,Al Shabab,Al-Ettifaq,1,1
SaudiArabia,SPL,30/03/02,Al-Ittihad FC,Al Nasr Riyadh,3,2
SaudiArabia,SPL,04/04/02,Al Riyadh,Al Ahli SC,1,1
SaudiArabia,SPL,06/04/02,Al-Ettifaq,Al Shabab,2,1
SaudiArabia,SPL,07/04/02,Al Ansar,Al-Hilal,1,6
SaudiArabia,SPL,09/04/02,Al-Ittihad FC,Al Ahli SC,4,1
SaudiArabia,SPL,10/04/02,Al Nasr Riyadh,Al Shabab,0,0
SaudiArabia,SPL,11/04/02,Al-Hilal,Al Taee,6,0
SaudiArabia,SPL,14/04/02,Al Nasr Riyadh ,Al Ahli SC,1,0
SaudiArabia,SPL,19/04/02,Al-Ittihad FC ,Al Nasr Riyadh,2,1
SaudiArabia,SPL,01/05/02,Al-Hilal ,Al-Ittihad FC,2,1
SaudiArabia,SPL,24/10/02,Al Taee,Al Nasr Riyadh,2,2
SaudiArabia,SPL,24/10/02,Al-Hilal,Al-Raed,1,0
SaudiArabia,SPL,25/10/02,Al Najma,Al Riyadh,0,1
SaudiArabia,SPL,25/10/02,Al-Ittihad FC,Al Qadisiya,1,0
SaudiArabia,SPL,25/10/02,Al-Shoalah,Al-Ettifaq,3,2
SaudiArabia,SPL,28/10/02,Al Ahli SC,Al Shabab,2,4
SaudiArabia,SPL,28/10/02,Al Taee,Al-Hilal,1,2
SaudiArabia,SPL,31/10/02,Al Nasr Riyadh,Al Najma,2,0
SaudiArabia,SPL,01/11/02,Al Riyadh,Al-Shoalah,3,1
SaudiArabia,SPL,01/11/02,Al-Ettifaq,Al Ahli SC,0,4
SaudiArabia,SPL,02/11/02,Al Qadisiya,Al-Hilal,2,1
SaudiArabia,SPL,02/11/02,Al Shabab,Al-Ittihad FC,0,1
SaudiArabia,SPL,02/11/02,Al-Raed,Al Taee,2,3
SaudiArabia,SPL,05/11/02,Al Ahli SC,Al Nasr Riyadh,3,2
SaudiArabia,SPL,07/11/02,Al Shabab,Al Qadisiya,1,2
SaudiArabia,SPL,08/11/02,Al-Hilal,Al Taee,0,2
